Date,TemperatureData
2022-07-03,22
2022-07-04,24
2022-07-05,26
2022-07-06,28
2022-07-07,30
2022-07-08,32
2022-07-09,34
2022-07-10,36
2022-07-11,38
2022-07-12,36
2022-07-13,34
2022-07-14,32
2022-07-15,30
2022-07-16,28
2022-07-17,26
2022-07-18,24
2022-07-19,22
2022-07-20,20
2022-07-21,18
2022-07-22,16
2022-07-23,14
2022-07-24,12
2022-07-25,20
2022-07-26,28
2022-07-27,26
2022-07-28,24
2022-07-29,22
2022-07-30,20
2022-07-31,22
2022-08-01,24
2022-08-02,26
2022-08-03,28
2022-08-04,20
2022-08-05,22
2022-08-06,24
2022-08-07,26
2022-08-08,23
2022-08-09,20
2022-08-10,22
2022-08-11,24
2022-08-12,26
2022-08-13,28
2022-08-14,30
2022-08-15,32
2022-08-16,34
2022-08-17,36
2022-08-18,38
2022-08-19,36
2022-08-20,34
2022-08-21,32
2022-08-22,30
2022-08-23,28
2022-08-24,26
2022-08-25,24
2022-08-26,22
2022-08-27,20
2022-08-28,28
2022-08-29,26
2022-08-30,24
2022-08-31,22
2022-09-01,24
2022-09-02,26
2022-09-03,28
2022-09-04,20
2022-09-05,22
2022-09-06,24
2022-09-07,26
2022-09-08,28
2022-09-09,20
2022-09-10,22
2022-09-11,20
2022-09-12,26
2022-09-13,28
2022-09-14,26
2022-09-15,24
2022-09-16,22
2022-09-17,20
2022-09-18,25
2022-09-19,26
2022-09-20,24
2022-09-21,22
2022-09-22,20
2022-09-23,18
2022-09-24,16
2022-09-25,14
2022-09-26,12
2022-09-27,14
2022-09-28,18
2022-09-29,16
2022-09-30,14
2022-10-01,16
2022-10-02,18
2022-10-03,10
2022-10-04,8
2022-10-05,8
2022-10-06,6
2022-10-07,8
2022-10-08,9
2022-10-09,7
2022-10-10,6
2022-10-11,6
2022-10-12,8
2022-10-13,9
2022-10-14,5
2022-10-15,4
2022-10-16,6
2022-10-17,8
2022-10-18,6
2022-10-19,4
2022-10-20,5
2022-10-21,3
2022-10-22,2
2022-10-23,6
2022-10-24,4
2022-10-25,2
2022-10-26,0
2022-10-27,8
2022-10-28,6
2022-10-29,4
2022-10-30,2
2022-10-31,6
2022-11-01,5
2022-11-02,6
2022-11-03,6
2022-11-04,8
2022-11-05,7
2022-11-06,2
2022-11-07,4
2022-11-08,6
2022-11-09,8
2022-11-10,0
2022-11-11,-2
2022-11-12,-4
2022-11-13,-6
2022-11-14,-5
2022-11-15,-3
2022-11-16,-3
2022-11-17,-3
2022-11-18,-3
2022-11-19,-2
2022-11-20,-6
2022-11-21,-4
2022-11-22,-2
2022-11-23,0
2022-11-24,-8
2022-11-25,-6
2022-11-26,-4
2022-11-27,-2
2022-11-28,-10
2022-11-29,-8
2022-11-30,-6
2022-12-01,-8
2022-12-02,-10
2022-12-03,-12
2022-12-04,-14
2022-12-05,-16
2022-12-06,-15
2022-12-07,-13
2022-12-08,-12
2022-12-09,-14
2022-12-10,-16
2022-12-11,-18
2022-12-12,-17
2022-12-13,-22
2022-12-14,-24
2022-12-15,-26
2022-12-16,-24
2022-12-17,-21
2022-12-18,-24
2022-12-19,-22
2022-12-20,-20
2022-12-21,-21
2022-12-22,-23
2022-12-23,-24
2023-01-01,-25
2023-01-02,-22
2023-01-03,-22
2023-01-04,-23
2023-01-05,-25
2023-01-06,-24
2023-01-07,-16
2023-01-08,-14
2023-01-09,-15
2023-01-10,-16
2023-01-11,-14
2023-01-12,-13
2023-01-13,-14
2023-01-14,-16
2023-01-15,-18
2023-01-16,-19
2023-01-17,-10
2023-01-18,-12
2023-01-19,-14
2023-01-20,-15
2023-01-21,-16
2023-01-22,-15
2023-01-23,-13
2023-01-24,-12
2023-01-25,-10
2023-01-26,-19
2023-01-27,-18
2023-01-28,-17
2023-01-29,-18
2023-01-30,-10
2023-01-31,-11
2023-02-01,-19
2023-02-02,-17
2023-02-03,-15
2023-02-04,-13
2023-02-05,-11
2023-02-06,-10
2023-02-07,-12
2023-02-08,-14
2023-02-09,-16
2023-02-10,-18
2023-02-11,-19
2023-02-12,-11
2023-02-13,-12
2023-02-14,-7
2023-02-15,-6
2023-02-16,-8
2023-02-17,-9
2023-02-18,-1
2023-02-19,-3
2023-02-20,-5
2023-02-21,-6
2023-02-22,-8
2023-02-23,-9
2023-02-24,0
2023-02-25,-2
2023-02-26,4
2023-02-27,5
2023-02-28,6
2023-03-01,-4
2023-03-02,-2
2023-03-03,0
2023-03-04,8
2023-03-05,6
2023-03-06,4
2023-03-07,-2
2023-03-08,0
2023-03-09,8
2023-03-10,7
2023-03-11,5
2023-03-12,4
2023-03-13,3
2023-03-14,-1
2023-03-15,0
2023-03-16,9
2023-03-17,8
2023-03-18,7
2023-03-19,8
2023-03-20,10
2023-03-21,12
2023-03-22,13
2023-03-23,12
2023-03-24,13
2023-03-25,11
2023-03-26,9
2023-03-27,10
2023-03-28,11
2023-03-29,12
2023-03-30,14
2023-03-31,15
2023-04-01,10
2023-04-02,8
2023-04-03,11
2023-04-04,12
2023-04-05,13
2023-04-06,14
2023-04-07,11
2023-04-08,16
2023-04-09,17
2023-04-10,12
2023-04-11,14
2023-04-12,16
2023-04-13,15
2023-04-14,14
2023-04-15,13
2023-04-16,12
2023-04-17,11
2023-04-18,10
2023-04-19,16
2023-04-20,18
2023-04-21,17
2023-04-22,16
2023-04-23,15
2023-04-24,17
2023-04-25,18
2023-04-26,12
2023-04-27,11
2023-04-28,12
2023-04-29,19
2023-04-30,18
2023-05-01,10
2023-05-02,12
2023-05-03,14
2023-05-04,16
2023-05-05,18
2023-05-06,20
2023-05-07,14
2023-05-08,18
2023-05-09,16
2023-05-10,18
2023-05-11,16
2023-05-12,14
2023-05-13,12
2023-05-14,18
2023-05-15,18
2023-05-16,16
2023-05-17,14
2023-05-18,12
2023-05-19,10
2023-05-20,18
2023-05-21,16
2023-05-22,14
2023-05-23,12
2023-05-24,10
2023-05-25,19
2023-05-26,17
2023-05-27,16
2023-05-28,14
2023-05-29,13
2023-05-30,12
2023-05-31,20
2023-06-01,12
2023-06-02,14
2023-06-03,16
2023-06-04,18
2023-06-05,20
2023-06-06,22
2023-06-07,24
2023-06-08,26
2023-06-09,28
2023-06-10,20
2023-06-11,22
2023-06-12,24
2023-06-13,26
2023-06-14,28
2023-06-15,30
2023-06-16,32
2023-06-17,34
2023-06-18,36
2023-06-19,38
2023-06-20,36
2023-06-21,34
2023-06-22,32
2023-06-23,30
2023-06-24,28
2023-06-25,26
2023-06-26,24
2023-06-27,22
2023-06-28,20
2023-06-29,18
2023-06-30,16
2023-07-01,18
2023-07-02,20
2023-07-03,22
2023-07-04,24
2023-07-05,26
2023-07-06,28
2023-07-07,30
2023-07-08,32
2023-07-09,34
2023-07-10,36
2023-07-11,38
2023-07-12,36
2023-07-13,34
2023-07-14,32
2023-07-15,30
2023-07-16,28
2023-07-17,26
2023-07-18,24
2023-07-19,22
2023-07-20,20
2023-07-21,18
2023-07-22,16
2023-07-23,14
2023-07-24,12
2023-07-25,20
2023-07-26,28
2023-07-27,26
2023-07-28,24
2023-07-29,22
2023-07-30,20
2023-07-31,22
2023-08-01,24
2023-08-02,26
2023-08-03,28
2023-08-04,20
2023-08-05,22
2023-08-06,24
2023-08-07,26
2023-08-08,23
2023-08-09,20
2023-08-10,22
2023-08-11,24
2023-08-12,26
2023-08-13,28
2023-08-14,30
2023-08-15,32
2023-08-16,34
2023-08-17,36
2023-08-18,38
2023-08-19,36
2023-08-20,34
2023-08-21,32
2023-08-22,30
2023-08-23,28
2023-08-24,26
2023-08-25,24
2023-08-26,22
2023-08-27,20
2023-08-28,28
2023-08-29,26
2023-08-30,24
2023-08-31,22
2023-09-01,24
2023-09-02,26
2023-09-03,28
2023-09-04,20
2023-09-05,22
2023-09-06,24
2023-09-07,26
2023-09-08,28
2023-09-09,20
2023-09-10,22
2023-09-11,20
2023-09-12,26
2023-09-13,28
2023-09-14,26
2023-09-15,24
2023-09-16,22
2023-09-17,20
2023-09-18,25
2023-09-19,26
2023-09-20,24
2023-09-21,22
2023-09-22,20
2023-09-23,18
2023-09-24,16
2023-09-25,14
2023-09-26,12
2023-09-27,14
2023-09-28,18
2023-09-29,16
2023-09-30,14
2023-10-01,16
2023-10-02,18
2023-10-03,10
2023-10-04,8
2023-10-05,8
2023-10-06,6
2023-10-07,8
2023-10-08,9
2023-10-09,7
2023-10-10,6
2023-10-11,6
2023-10-12,8
2023-10-13,9
2023-10-14,5
2023-10-15,4
2023-10-16,6
2023-10-17,8
2023-10-18,6
2023-10-19,4
2023-10-20,5
2023-10-21,3
2023-10-22,2
2023-10-23,6
2023-10-24,4
2023-10-25,2
2023-10-26,0
2023-10-27,8
2023-10-28,6
2023-10-29,4
2023-10-30,2
2023-10-31,6
2023-11-01,5
2023-11-02,6
2023-11-03,6
2023-11-04,8
2023-11-05,7
2023-11-06,2
2023-11-07,4
2023-11-08,6
2023-11-09,8
2023-11-10,0
2023-11-11,-2
2023-11-12,-4
2023-11-13,-6
2023-11-14,-5
2023-11-15,-3
2023-11-16,-3
2023-11-17,-3
2023-11-18,-3
2023-11-19,-2
2023-11-20,-6
2023-11-21,-4
2023-11-22,-2
2023-11-23,0
2023-11-24,-8
2023-11-25,-6
2023-11-26,-4
2023-11-27,-2
2023-11-28,-10
2023-11-29,-8
2023-11-30,-6
2023-12-01,-8
2023-12-02,-10
2023-12-03,-12
2023-12-04,-14
2023-12-05,-16
2023-12-06,-15
2023-12-07,-13
2023-12-08,-12
2023-12-09,-14
2023-12-10,-16
2023-12-11,-18
2023-12-12,-17
2023-12-13,-22
2023-12-14,-24
2023-12-15,-26
2023-12-16,-24
2023-12-17,-21
2023-12-18,-24
2023-12-19,-22
2023-12-20,-20
2023-12-21,-21
2023-12-22,-23
2023-12-23,-24
